Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BEP,Chrome 61.0.3163.100,,2017-10-31 17:52:06,2017-10-31 18:34:23,42m - 17.265s,FAILED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_CreateECR,Chrome 61.0.3163.100,,2017-10-31 17:52:06,2017-10-31 17:58:29,6m - 23.498s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 17:52:07,2017-10-31 17:55:15,3m - 8.238s,PASSED
Statement - SendEmail = true,Chrome 61.0.3163.100,,2017-10-31 17:55:15,2017-10-31 17:55:15,0.001s,PASSED
Statement - CreateECR = true,Chrome 61.0.3163.100,,2017-10-31 17:55:15,2017-10-31 17:55:15,0.001s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 17:55:15,2017-10-31 17:58:29,3m - 14.453s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SendEmail_NoECR,Chrome 61.0.3163.100,,2017-10-31 17:58:29,2017-10-31 18:04:45,6m - 15.969s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 17:58:30,2017-10-31 18:01:32,3m - 2.209s,PASSED
Statement - SendEmail = true,Chrome 61.0.3163.100,,2017-10-31 18:01:32,2017-10-31 18:01:32,0.000s,PASSED
Statement - CreateECR = false,Chrome 61.0.3163.100,,2017-10-31 18:01:32,2017-10-31 18:01:32,0.001s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:01:32,2017-10-31 18:04:45,3m - 13.591s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SkipEmail_CreateECR,Chrome 61.0.3163.100,,2017-10-31 18:04:45,2017-10-31 18:11:35,6m - 49.594s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:04:46,2017-10-31 18:07:50,3m - 4.314s,PASSED
Statement - SendEmail = false,Chrome 61.0.3163.100,,2017-10-31 18:07:50,2017-10-31 18:07:50,0.001s,PASSED
Statement - CreateECR = true,Chrome 61.0.3163.100,,2017-10-31 18:07:50,2017-10-31 18:07:50,0.001s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:07:50,2017-10-31 18:11:35,3m - 45.087s,PASSED
,,,,,,
Test Cases/BEP/TC_CreateBEP_EmailOutput_SkipEmail_NOECR,Chrome 61.0.3163.100,,2017-10-31 18:11:35,2017-10-31 18:15:55,4m - 20.364s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:11:35,2017-10-31 18:14:46,3m - 10.235s,PASSED
Statement - SendEmail = false,Chrome 61.0.3163.100,,2017-10-31 18:14:46,2017-10-31 18:14:46,0.001s,PASSED
Statement - CreateECR = false,Chrome 61.0.3163.100,,2017-10-31 18:14:46,2017-10-31 18:14:46,0.000s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:14:46,2017-10-31 18:15:55,1m - 9.766s,FAILED
,,,,,,
Test Cases/BEP/TC_CreateBEP_NoroutingToRL,Chrome 61.0.3163.100,,2017-10-31 18:15:56,2017-10-31 18:22:33,6m - 37.906s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:15:56,2017-10-31 18:19:04,3m - 8.207s,PASSED
Statement - RDReject = 1,Chrome 61.0.3163.100,,2017-10-31 18:19:04,2017-10-31 18:19:04,0.000s,PASSED
Statement - RouteToRL = false,Chrome 61.0.3163.100,,2017-10-31 18:19:04,2017-10-31 18:19:04,0.000s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 18:19:04,2017-10-31 18:22:33,3m - 29.503s,PASSED
,,,,,,
Test Cases/BEP/TC_Create_BEP_EmailOutput,Chrome 61.0.3163.100,,2017-10-31 18:22:33,2017-10-31 18:25:41,3m - 7.962s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-10-31 18:22:34,2017-10-31 18:22:57,23.108s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 18:22:57,2017-10-31 18:22:57,0.168s,PASSED
focus,Chrome 61.0.3163.100,,2017-10-31 18:22:57,2017-10-31 18:23:03,6.411s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 18:23:03,2017-10-31 18:23:11,7.329s,PASSED
switchToFrame,Chrome 61.0.3163.100,,2017-10-31 18:23:11,2017-10-31 18:23:11,0.106s,PASSED
com.helper.commonfunct.BEP_CommonMethod.BEPImport,Chrome 61.0.3163.100,,2017-10-31 18:23:11,2017-10-31 18:23:23,12.591s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-31 18:23:23,2017-10-31 18:23:31,8.002s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-31 18:23:31,2017-10-31 18:23:32,0.266s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-31 18:23:32,2017-10-31 18:23:36,4.000s,PASSED
